Donor,Year,Purpose,"Commitments, Million, constant 2009 US$"
UNFPA,2005,RH & FP,132.311835721
UNFPA,2006,HEALTH POLICY & ADMIN. MANAGEMENT,99.628726458
UNFPA,2006,MDG6,8.422203493
UNFPA,2006,RH & FP,128.232078879
UNFPA,2007,HEALTH POLICY & ADMIN. MANAGEMENT,92.294688827
UNFPA,2007,MDG6,9.668193530
UNFPA,2007,RH & FP,120.581649177
UNFPA,2008,HEALTH POLICY & ADMIN. MANAGEMENT,117.756843912
UNFPA,2008,MDG6,15.019516421
UNFPA,2008,RH & FP,134.818310636
UNFPA,2009,HEALTH POLICY & ADMIN. MANAGEMENT,178.038600000
UNFPA,2009,MDG6,16.292510000
UNFPA,2009,RH & FP,154.177940000
UNFPA,2010,HEALTH POLICY & ADMIN. MANAGEMENT,400.935644159
UNFPA,2010,MDG6,36.789005601
UNFPA,2010,RH & FP,369.480831432
UNICEF,2000,HEALTH POLICY & ADMIN. MANAGEMENT,35.637815013
UNICEF,2000,MDG6,29.455251006
UNICEF,2000,Other Health Purposes,108.060412035
UNICEF,2000,RH & FP,15.988199327
UNICEF,2001,HEALTH POLICY & ADMIN. MANAGEMENT,40.583895936
UNICEF,2001,MDG6,32.783918898
UNICEF,2001,Other Health Purposes,126.146047035
UNICEF,2001,RH & FP,10.426518600
UNICEF,2002,HEALTH POLICY & ADMIN. MANAGEMENT,28.255605530
UNICEF,2002,MDG6,23.108163940
UNICEF,2002,Other Health Purposes,118.339212328
UNICEF,2002,RH & FP,13.050450280
UNICEF,2003,HEALTH POLICY & ADMIN. MANAGEMENT,28.450684906
UNICEF,2003,MDG6,25.178081226
UNICEF,2003,Other Health Purposes,103.469798820
UNICEF,2003,RH & FP,12.908053824
UNICEF,2004,HEALTH POLICY & ADMIN. MANAGEMENT,28.097171662
UNICEF,2004,MDG6,22.068839780
UNICEF,2004,Other Health Purposes,104.743803483
UNICEF,2004,RH & FP,12.965264102
UNICEF,2005,HEALTH POLICY & ADMIN. MANAGEMENT,32.709910885
UNICEF,2005,MDG6,28.863122978
UNICEF,2005,Other Health Purposes,121.306179503
UNICEF,2005,RH & FP,16.995213100
UNICEF,2006,HEALTH POLICY & ADMIN. MANAGEMENT,3.350389532
UNICEF,2006,MDG6,75.940636216
UNICEF,2006,Other Health Purposes,58.005710119
UNICEF,2006,RH & FP,17.423357391
UNICEF,2007,HEALTH POLICY & ADMIN. MANAGEMENT,3.522919542
UNICEF,2007,MDG6,96.687416608
UNICEF,2007,Other Health Purposes,28.898275235
UNICEF,2007,RH & FP,18.493297213
UNICEF,2008,HEALTH POLICY & ADMIN. MANAGEMENT,3.856884892
UNICEF,2008,MDG6,80.311458778
UNICEF,2008,Other Health Purposes,32.394026455
UNICEF,2008,RH & FP,13.564502506
UNICEF,2009,HEALTH POLICY & ADMIN. MANAGEMENT,6.827080000
UNICEF,2009,MDG6,38.391420000
UNICEF,2009,Other Health Purposes,126.465410000
UNICEF,2009,RH & FP,11.911880000
UNICEF,2010,HEALTH POLICY & ADMIN. MANAGEMENT,6.788897982
UNICEF,2010,MDG6,34.254717431
UNICEF,2010,Other Health Purposes,124.100746826
UNICEF,2010,RH & FP,16.927613281
United Arab Emirates,2009,MDG6,4.280000000
United Arab Emirates,2009,Other Health Purposes,148.606000000
United Arab Emirates,2010,HEALTH POLICY & ADMIN. MANAGEMENT,0.224045748
United Arab Emirates,2010,MDG6,27.180264014
United Arab Emirates,2010,Other Health Purposes,51.114032018
United Kingdom,2000,HEALTH POLICY & ADMIN. MANAGEMENT,141.281815455
United Kingdom,2000,MDG6,484.971179022
United Kingdom,2000,Other Health Purposes,251.696865660
United Kingdom,2000,RH & FP,159.115665826
United Kingdom,2001,HEALTH POLICY & ADMIN. MANAGEMENT,76.323816191
United Kingdom,2001,MDG6,211.238244696
United Kingdom,2001,Other Health Purposes,77.058068850
United Kingdom,2001,RH & FP,68.150518319
United Kingdom,2002,HEALTH POLICY & ADMIN. MANAGEMENT,42.245478858
United Kingdom,2002,MDG6,402.737601903
United Kingdom,2002,Other Health Purposes,67.630361663
United Kingdom,2002,RH & FP,288.726582235
United Kingdom,2003,HEALTH POLICY & ADMIN. MANAGEMENT,276.656657367
United Kingdom,2003,MDG6,279.255109130
United Kingdom,2003,Other Health Purposes,37.070642373
United Kingdom,2003,RH & FP,61.829953760
United Kingdom,2004,HEALTH POLICY & ADMIN. MANAGEMENT,68.638665820
United Kingdom,2004,MDG6,201.820778249
United Kingdom,2004,Other Health Purposes,87.796077834
United Kingdom,2004,RH & FP,223.970215039
United Kingdom,2005,HEALTH POLICY & ADMIN. MANAGEMENT,389.894871817
United Kingdom,2005,MDG6,579.118953224
United Kingdom,2005,Other Health Purposes,57.853145860
United Kingdom,2005,RH & FP,74.463877919
United Kingdom,2006,HEALTH POLICY & ADMIN. MANAGEMENT,265.532323953
United Kingdom,2006,MDG6,451.375242309
United Kingdom,2006,Other Health Purposes,273.176155628
United Kingdom,2006,RH & FP,492.434037756
United Kingdom,2007,HEALTH POLICY & ADMIN. MANAGEMENT,374.874610895
United Kingdom,2007,MDG6,505.461870296
United Kingdom,2007,Other Health Purposes,116.808961163
United Kingdom,2007,RH & FP,446.242448308
United Kingdom,2008,HEALTH POLICY & ADMIN. MANAGEMENT,147.314674749
United Kingdom,2008,MDG6,369.902860949
United Kingdom,2008,Other Health Purposes,116.785600804
United Kingdom,2008,RH & FP,195.654628079
United Kingdom,2009,HEALTH POLICY & ADMIN. MANAGEMENT,212.496594814
United Kingdom,2009,MDG6,828.796032490
United Kingdom,2009,Other Health Purposes,383.367838176
United Kingdom,2009,RH & FP,115.905326460
United Kingdom,2010,HEALTH POLICY & ADMIN. MANAGEMENT,99.731309038
United Kingdom,2010,MDG6,106.879242726
United Kingdom,2010,Other Health Purposes,53.463043810
United Kingdom,2010,RH & FP,66.705754448
United States of America,2000,HEALTH POLICY & ADMIN. MANAGEMENT,165.684401307
United States of America,2000,MDG6,395.871352111
United States of America,2000,Other Health Purposes,274.043095330
United States of America,2000,RH & FP,475.595632770
United States of America,2001,HEALTH POLICY & ADMIN. MANAGEMENT,144.380172293
United States of America,2001,MDG6,629.004191813
United States of America,2001,Other Health Purposes,235.385630976
United States of America,2001,RH & FP,483.475266056
United States of America,2002,HEALTH POLICY & ADMIN. MANAGEMENT,452.331087074
United States of America,2002,MDG6,845.112452814
United States of America,2002,Other Health Purposes,512.238982537
United States of America,2002,RH & FP,242.665947399
United States of America,2003,HEALTH POLICY & ADMIN. MANAGEMENT,352.681316305
United States of America,2003,MDG6,1414.589132994
United States of America,2003,Other Health Purposes,491.530109460
United States of America,2003,RH & FP,283.664041159
United States of America,2004,HEALTH POLICY & ADMIN. MANAGEMENT,555.662516646
United States of America,2004,MDG6,1559.869891566
United States of America,2004,Other Health Purposes,762.769569274
United States of America,2004,RH & FP,60.038039535
United States of America,2005,HEALTH POLICY & ADMIN. MANAGEMENT,250.551042061
United States of America,2005,MDG6,2524.004637717
United States of America,2005,Other Health Purposes,765.713422701
United States of America,2005,RH & FP,238.784984305
United States of America,2006,HEALTH POLICY & ADMIN. MANAGEMENT,283.728995153
United States of America,2006,MDG6,3118.597505538
United States of America,2006,Other Health Purposes,821.649862138
United States of America,2006,RH & FP,222.748168816
United States of America,2007,HEALTH POLICY & ADMIN. MANAGEMENT,36.924441304
United States of America,2007,MDG6,4719.942773579
United States of America,2007,Other Health Purposes,178.577728431
United States of America,2007,RH & FP,852.696140532
United States of America,2008,HEALTH POLICY & ADMIN. MANAGEMENT,55.523256521
United States of America,2008,MDG6,5730.755754520
United States of America,2008,Other Health Purposes,245.497006394
United States of America,2008,RH & FP,1030.267006283
United States of America,2009,HEALTH POLICY & ADMIN. MANAGEMENT,50.677475000
United States of America,2009,MDG6,5597.043608000
United States of America,2009,Other Health Purposes,117.738398000
United States of America,2009,RH & FP,975.531367000
United States of America,2010,HEALTH POLICY & ADMIN. MANAGEMENT,54.591455177
United States of America,2010,MDG6,6007.186228558
United States of America,2010,Other Health Purposes,247.348217148
United States of America,2010,RH & FP,1030.616115200
UNPBF,2009,Other Health Purposes,0.889902000
UNPBF,2010,Other Health Purposes,
UNRWA,2005,Other Health Purposes,72.845696207
UNRWA,2006,Other Health Purposes,77.220587380
UNRWA,2007,Other Health Purposes,81.304301862
UNRWA,2008,Other Health Purposes,82.690430780
UNRWA,2009,Other Health Purposes,87.516345917
UNRWA,2010,Other Health Purposes,97.541860084
WFP,2009,MDG6,
WFP,2009,Other Health Purposes,
WFP,2010,MDG6,
WFP,2010,Other Health Purposes,
WHO,2009,HEALTH POLICY & ADMIN. MANAGEMENT,195.874768430
WHO,2009,MDG6,91.921355410
WHO,2009,Other Health Purposes,110.793020990
WHO,2009,RH & FP,19.906770560
WHO,2010,HEALTH POLICY & ADMIN. MANAGEMENT,174.087334045
WHO,2010,MDG6,63.046695399
WHO,2010,Other Health Purposes,99.137487842
WHO,2010,RH & FP,17.859892704
