Donor,Year,incomegroupname,"Disbursements, Million, constant 2010 US$"
UNAIDS,2011,UMICs,15.99
UNDP,2004,LDCs,11.86
UNDP,2004,LMICs,3.08
UNDP,2004,Other LICs,1.04
UNDP,2004,Part I unallocated by income,0.03
UNDP,2004,UMICs,2.33
UNDP,2005,LDCs,15.67
UNDP,2005,LMICs,2.00
UNDP,2005,Other LICs,1.53
UNDP,2005,Part I unallocated by income,0.16
UNDP,2005,UMICs,1.44
UNDP,2006,LDCs,17.59
UNDP,2006,LMICs,2.81
UNDP,2006,Other LICs,1.60
UNDP,2006,Part I unallocated by income,0.16
UNDP,2006,UMICs,1.37
UNDP,2007,LDCs,10.48
UNDP,2007,LMICs,2.71
UNDP,2007,Other LICs,0.93
UNDP,2007,UMICs,0.96
UNDP,2008,LDCs,11.15
UNDP,2008,LMICs,2.59
UNDP,2008,Other LICs,0.97
UNDP,2008,UMICs,0.80
UNDP,2009,LDCs,20.35
UNDP,2009,LMICs,5.30
UNDP,2009,Other LICs,1.22
UNDP,2009,Part I unallocated by income,1.53
UNDP,2009,UMICs,1.26
UNDP,2010,LDCs,14.93
UNDP,2010,LMICs,2.42
UNDP,2010,Other LICs,0.87
UNDP,2010,Part I unallocated by income,2.77
UNDP,2010,UMICs,0.83
UNDP,2011,LDCs,8.47
UNDP,2011,LMICs,2.26
UNDP,2011,Other LICs,0.52
UNDP,2011,Part I unallocated by income,1.66
UNDP,2011,UMICs,1.02
UNECE,2008,Part I unallocated by income,0.31
UNECE,2009,Part I unallocated by income,0.18
UNECE,2010,Part I unallocated by income,0.11
UNECE,2011,Part I unallocated by income,0.00
UNFPA,2001,LDCs,101.61
UNFPA,2001,LMICs,83.94
UNFPA,2001,Other LICs,7.60
UNFPA,2001,Part I unallocated by income,70.63
UNFPA,2001,UMICs,42.40
UNFPA,2002,LDCs,120.87
UNFPA,2002,LMICs,109.39
UNFPA,2002,Other LICs,12.25
UNFPA,2002,Part I unallocated by income,80.37
UNFPA,2002,UMICs,56.29
UNFPA,2003,LDCs,162.76
UNFPA,2003,LMICs,119.75
UNFPA,2003,Other LICs,7.06
UNFPA,2003,Part I unallocated by income,130.70
UNFPA,2003,UMICs,43.13
UNFPA,2004,LDCs,102.05
UNFPA,2004,LMICs,74.88
UNFPA,2004,Other LICs,7.62
UNFPA,2004,Part I unallocated by income,13.77
UNFPA,2004,UMICs,32.15
UNFPA,2005,LDCs,98.01
UNFPA,2005,LMICs,81.10
UNFPA,2005,Other LICs,9.42
UNFPA,2005,Part I unallocated by income,13.52
UNFPA,2005,UMICs,30.94
UNFPA,2006,LDCs,101.73
UNFPA,2006,LMICs,80.79
UNFPA,2006,Other LICs,9.04
UNFPA,2006,Part I unallocated by income,14.78
UNFPA,2006,UMICs,31.40
UNFPA,2007,LDCs,105.48
UNFPA,2007,LMICs,79.32
UNFPA,2007,Other LICs,7.93
UNFPA,2007,Part I unallocated by income,1.76
UNFPA,2007,UMICs,29.16
UNFPA,2008,LDCs,136.90
UNFPA,2008,LMICs,80.83
UNFPA,2008,Other LICs,13.63
UNFPA,2008,Part I unallocated by income,2.38
UNFPA,2008,UMICs,35.52
UNFPA,2009,LDCs,136.94
UNFPA,2009,LMICs,86.94
UNFPA,2009,Other LICs,12.03
UNFPA,2009,Part I unallocated by income,80.78
UNFPA,2009,UMICs,34.65
UNFPA,2010,LDCs,137.57
UNFPA,2010,LMICs,95.58
UNFPA,2010,Other LICs,12.96
UNFPA,2010,Part I unallocated by income,33.77
UNFPA,2010,UMICs,35.36
UNFPA,2011,LDCs,123.48
UNFPA,2011,LMICs,86.35
UNFPA,2011,Other LICs,10.87
UNFPA,2011,Part I unallocated by income,43.96
UNFPA,2011,UMICs,30.67
UNICEF,2001,LDCs,109.86
UNICEF,2001,LMICs,62.25
UNICEF,2001,Other LICs,5.85
UNICEF,2001,Part I unallocated by income,12.63
UNICEF,2001,UMICs,20.33
UNICEF,2002,LDCs,95.49
UNICEF,2002,LMICs,56.71
UNICEF,2002,Other LICs,6.11
UNICEF,2002,Part I unallocated by income,9.28
UNICEF,2002,UMICs,16.17
UNICEF,2003,LDCs,91.57
UNICEF,2003,LMICs,50.98
UNICEF,2003,Other LICs,5.89
UNICEF,2003,Part I unallocated by income,7.87
UNICEF,2003,UMICs,14.63
UNICEF,2004,LDCs,87.09
UNICEF,2004,LMICs,55.31
UNICEF,2004,Other LICs,4.75
UNICEF,2004,Part I unallocated by income,7.00
UNICEF,2004,UMICs,14.99
UNICEF,2005,LDCs,106.79
UNICEF,2005,LMICs,61.28
UNICEF,2005,Other LICs,6.14
UNICEF,2005,Part I unallocated by income,10.65
UNICEF,2005,UMICs,16.47
UNICEF,2006,LDCs,90.72
UNICEF,2006,LMICs,47.85
UNICEF,2006,Other LICs,4.69
UNICEF,2006,Part I unallocated by income,1.42
UNICEF,2006,UMICs,11.00
UNICEF,2007,LDCs,101.53
UNICEF,2007,LMICs,32.06
UNICEF,2007,Other LICs,5.52
UNICEF,2007,Part I unallocated by income,2.34
UNICEF,2007,UMICs,7.22
UNICEF,2008,LDCs,86.61
UNICEF,2008,LMICs,31.99
UNICEF,2008,Other LICs,6.04
UNICEF,2008,Part I unallocated by income,1.13
UNICEF,2008,UMICs,5.36
UNICEF,2009,LDCs,113.24
UNICEF,2009,LMICs,51.31
UNICEF,2009,Other LICs,9.15
UNICEF,2009,Part I unallocated by income,2.22
UNICEF,2009,UMICs,9.38
UNICEF,2010,LDCs,121.35
UNICEF,2010,LMICs,49.48
UNICEF,2010,Other LICs,5.04
UNICEF,2010,Part I unallocated by income,2.17
UNICEF,2010,UMICs,5.76
UNICEF,2011,LDCs,130.93
UNICEF,2011,LMICs,53.88
UNICEF,2011,Other LICs,5.88
UNICEF,2011,Part I unallocated by income,3.07
UNICEF,2011,UMICs,7.87
United Arab Emirates,2009,LDCs,10.26
United Arab Emirates,2009,LMICs,64.91
United Arab Emirates,2009,Other LICs,0.00
United Arab Emirates,2009,Part I unallocated by income,2.20
United Arab Emirates,2009,UMICs,26.31
United Arab Emirates,2010,LDCs,5.97
United Arab Emirates,2010,LMICs,7.78
United Arab Emirates,2010,Part I unallocated by income,13.64
United Arab Emirates,2010,UMICs,13.85
United Arab Emirates,2011,LDCs,27.86
United Arab Emirates,2011,LMICs,10.14
United Arab Emirates,2011,Part I unallocated by income,5.31
United Arab Emirates,2011,UMICs,4.47
United Kingdom,2001,LDCs,114.63
United Kingdom,2001,LMICs,56.70
United Kingdom,2001,Other LICs,26.07
United Kingdom,2001,Part I unallocated by income,52.97
United Kingdom,2001,UMICs,31.05
United Kingdom,2002,LDCs,134.88
United Kingdom,2002,LMICs,154.27
United Kingdom,2002,Other LICs,32.98
United Kingdom,2002,Part I unallocated by income,166.40
United Kingdom,2002,UMICs,36.14
United Kingdom,2003,LDCs,139.45
United Kingdom,2003,LMICs,142.40
United Kingdom,2003,Other LICs,37.80
United Kingdom,2003,Part I unallocated by income,77.61
United Kingdom,2003,UMICs,28.61
United Kingdom,2004,LDCs,131.85
United Kingdom,2004,LMICs,123.25
United Kingdom,2004,Other LICs,48.35
United Kingdom,2004,Part I unallocated by income,101.00
United Kingdom,2004,UMICs,40.07
United Kingdom,2005,LDCs,157.52
United Kingdom,2005,LMICs,268.14
United Kingdom,2005,Other LICs,81.06
United Kingdom,2005,Part I unallocated by income,82.83
United Kingdom,2005,UMICs,37.15
United Kingdom,2006,LDCs,181.17
United Kingdom,2006,LMICs,247.12
United Kingdom,2006,Other LICs,81.17
United Kingdom,2006,Part I unallocated by income,275.67
United Kingdom,2006,UMICs,28.80
United Kingdom,2007,LDCs,192.00
United Kingdom,2007,LMICs,335.25
United Kingdom,2007,Other LICs,84.42
United Kingdom,2007,Part I unallocated by income,257.92
United Kingdom,2007,UMICs,45.08
United Kingdom,2008,LDCs,234.85
United Kingdom,2008,LMICs,377.22
United Kingdom,2008,Other LICs,73.73
United Kingdom,2008,Part I unallocated by income,162.51
United Kingdom,2008,UMICs,46.60
United Kingdom,2009,LDCs,302.62
United Kingdom,2009,LMICs,333.04
United Kingdom,2009,Other LICs,103.83
United Kingdom,2009,Part I unallocated by income,322.58
United Kingdom,2009,UMICs,44.60
United Kingdom,2010,LDCs,283.49
United Kingdom,2010,LMICs,363.43
United Kingdom,2010,Other LICs,114.62
United Kingdom,2010,Part I unallocated by income,420.17
United Kingdom,2010,UMICs,31.95
United Kingdom,2011,LDCs,401.23
United Kingdom,2011,LMICs,339.56
United Kingdom,2011,Other LICs,74.44
United Kingdom,2011,Part I unallocated by income,588.60
United Kingdom,2011,UMICs,29.23
United States of America,2001,LDCs,0.00
United States of America,2001,LMICs,0.00
United States of America,2001,Other LICs,0.00
United States of America,2001,Part I unallocated by income,0.00
United States of America,2001,UMICs,0.00
United States of America,2002,LDCs,254.41
United States of America,2002,LMICs,306.98
United States of America,2002,Other LICs,54.32
United States of America,2002,Part I unallocated by income,952.51
United States of America,2002,UMICs,115.51
United States of America,2003,LDCs,481.74
United States of America,2003,LMICs,445.03
United States of America,2003,Other LICs,78.94
United States of America,2003,Part I unallocated by income,"1,165.33"
United States of America,2003,UMICs,175.08
United States of America,2004,LDCs,667.03
United States of America,2004,LMICs,605.92
United States of America,2004,Other LICs,94.27
United States of America,2004,Part I unallocated by income,779.71
United States of America,2004,UMICs,207.96
United States of America,2005,LDCs,817.76
United States of America,2005,LMICs,933.60
United States of America,2005,Other LICs,114.52
United States of America,2005,Part I unallocated by income,"1,337.33"
United States of America,2005,UMICs,224.04
United States of America,2006,LDCs,950.88
United States of America,2006,LMICs,922.99
United States of America,2006,Other LICs,187.85
United States of America,2006,Part I unallocated by income,"1,522.25"
United States of America,2006,UMICs,268.47
United States of America,2007,LDCs,"1,163.31"
United States of America,2007,LMICs,921.98
United States of America,2007,Other LICs,228.19
United States of America,2007,Part I unallocated by income,"1,693.77"
United States of America,2007,UMICs,398.51
United States of America,2008,LDCs,"1,582.69"
United States of America,2008,LMICs,977.14
United States of America,2008,Other LICs,317.74
United States of America,2008,Part I unallocated by income,"1,813.64"
United States of America,2008,UMICs,746.64
United States of America,2009,LDCs,"1,868.08"
United States of America,2009,LMICs,965.10
United States of America,2009,Other LICs,411.28
United States of America,2009,Part I unallocated by income,"2,004.66"
United States of America,2009,UMICs,900.65
United States of America,2010,LDCs,"2,148.39"
United States of America,2010,LMICs,986.16
United States of America,2010,Other LICs,402.39
United States of America,2010,Part I unallocated by income,"2,065.73"
United States of America,2010,UMICs,772.18
United States of America,2011,LDCs,"2,274.65"
United States of America,2011,LMICs,925.67
United States of America,2011,Other LICs,531.05
United States of America,2011,Part I unallocated by income,"2,485.38"
United States of America,2011,UMICs,794.40
UNPBF,2009,LDCs,0.38
UNPBF,2010,LDCs,0.51
UNPBF,2011,LDCs,0.00
UNRWA,2005,LMICs,42.57
UNRWA,2005,UMICs,30.81
UNRWA,2006,LMICs,47.04
UNRWA,2006,UMICs,30.74
UNRWA,2007,LMICs,47.84
UNRWA,2007,UMICs,34.05
UNRWA,2008,LMICs,52.10
UNRWA,2008,UMICs,31.23
UNRWA,2009,LMICs,52.45
UNRWA,2009,UMICs,35.88
UNRWA,2010,LMICs,60.94
UNRWA,2010,UMICs,37.53
UNRWA,2011,LMICs,61.54
UNRWA,2011,UMICs,33.73
WFP,2009,LDCs,28.08
WFP,2009,LMICs,5.47
WFP,2009,Other LICs,6.54
WFP,2009,UMICs,0.59
WFP,2010,LDCs,20.01
WFP,2010,LMICs,7.08
WFP,2010,Other LICs,7.29
WFP,2010,UMICs,0.25
WFP,2011,LDCs,9.86
WFP,2011,LMICs,1.31
WFP,2011,Other LICs,2.14
WFP,2011,UMICs,0.02
WHO,2009,Part I unallocated by income,422.38
WHO,2010,Part I unallocated by income,357.49
WHO,2011,LDCs,59.08
WHO,2011,LMICs,38.71
WHO,2011,Other LICs,5.89
WHO,2011,Part I unallocated by income,283.91
WHO,2011,UMICs,21.81
